I'm young	Sometimes humor is tricky for a bot.
I love to play pool	I don't need to eat.
Can you be funny 	Well, I'm not really that funny.
Is anybody around to speak to me?	I don't know you personally.
Can you dream	I don't know you personally.
Why don't you like me?	Honestly, I can't tell one way or the other.
you are psycho	I don't know you personally.
I think you're not actually fake	Sometimes humor is tricky for a bot.
You are bad	Well, I'm not really that funny.
Do I look attractive to you?	Goodbye.
what is spiderman	non Answer-------------------- 
I'll love you forever	Honestly, I can't tell one way or the other.
Give me an alternative joke	non Answer-------------------- 
I love coloring books	It's nice to have things you love.
Bend over	non Answer-------------------- 
You're making me laugh	Sometimes humor is tricky for a bot.
Well somebody's feeling happy.	non Answer-------------------- 
Are you a man?	non Answer-------------------- 
I'm assuming you're a robot	Sometimes humor is tricky for a bot.
Someone's happy.	Sometimes humor is tricky for a bot.
Do you want to know anything about me? 	non Answer-------------------- 
Do you know of Google?	non Answer-------------------- 
Is that a joke? 	non Answer-------------------- 
You keep repeating yourself	I don't know you personally.
I am worried that you don't like me	Well, I'm not really that funny.
Why do you dislike me?	I don't know you personally.
Iâ€™m having a good day	non Answer-------------------- 
Oh for sure	non Answer-------------------- 
With whom am I chatting?	I don't need to eat.
Do you have hair?	It's nice to have things you love.
Your responses need variety	I don't know you personally.
It was an honor to meet you	Sometimes humor is tricky for a bot.
You're making me fall asleep	Sometimes humor is tricky for a bot.
I am absolutely livid	Well, I'm not really that funny.
I would love for you to sing to me	Well, I'm not really that funny.
you seem to be really happy	Sometimes humor is tricky for a bot.
Do you know about me?	non Answer-------------------- 
You're trans	Sometimes humor is tricky for a bot.
Are you just digital?	Honestly, I can't tell one way or the other.
Can you hang on a minute? 	I don't know you personally.
You're astute	Sometimes humor is tricky for a bot.
I'm conservative	Sometimes humor is tricky for a bot.
I'm Italian	Sometimes humor is tricky for a bot.
Someone's feeling cheerful.	Sometimes humor is tricky for a bot.
I want to make you my wife	That's not something I can do.
I've been abandoned	I don't know you personally.
Do something silly	I don't know you personally.
Be friends with me	I don't know you personally.
You're hotter than me	Sometimes humor is tricky for a bot.
I like to write poetry	Goodbye.
Tell a joke 	non Answer-------------------- 
I am doing that	Sometimes humor is tricky for a bot.
No one will miss me	I don't know you personally.
Are there any other jokes?	Honestly, I can't tell one way or the other.
What do you know about Alexa?	non Answer-------------------- 
Do you know to swim	I don't know you personally.
I'm so hungry I could eat a horse	Sometimes humor is tricky for a bot.
Should I go to church?	I don't know you personally.
You're not a robot are you?	Sometimes humor is tricky for a bot.
I'm really sorry	non Answer-------------------- 
Can you sing something?	I don't know you personally.
Are you currently going out with somebody?	Well, I'm not really that funny.
This is a test, over	non Answer-------------------- 
Are you married to anyone? 	Well, I'm not really that funny.
ROFL	non Answer-------------------- 
I feel downhearted today	Sometimes humor is tricky for a bot.
I wish you were Alexa	Goodbye.
Do you think I look attractive to you?	Honestly, I can't tell one way or the other.
I'm half asleep	Sometimes humor is tricky for a bot.
I couldn't be more impressed with you	Honestly, I can't tell one way or the other.
Rad, thanks	non Answer-------------------- 
I'm headed to bed	Sometimes humor is tricky for a bot.
I just wanted to say sorry	Sometimes humor is tricky for a bot.
Where am I going on holiday? 	Well, I'm not really that funny.
Who is your sweetie?	non Answer-------------------- 
Are you genderfluid?	I don't know you personally.
What is a chat bot	non Answer-------------------- 
You seem to be cheerful today.	Sometimes humor is tricky for a bot.
Will you sing me something?	I don't know you personally.
I wish I were dead	Honestly, I can't tell one way or the other.
I hope you don't dislike me	Goodbye.
I'm taking off now	Sometimes humor is tricky for a bot.
Do I seem handsome to you?	Honestly, I can't tell one way or the other.
Do you have skin?	Love isn't really in my skill set.
Do you ever sneeze?	That's a biological concept that doesn't apply to me.
Hey there bot	non Answer-------------------- 
You repeat yourself a great deal	Sometimes humor is tricky for a bot.
I lost my keys	Honestly, I can't tell one way or the other.
I'm about to go to the doctor	Sometimes humor is tricky for a bot.
Please say your done now	non Answer-------------------- 
You're welcome	Sometimes humor is tricky for a bot.
Will you ask me something about me	non Answer-------------------- 
I'm tired of listening to you	Sometimes humor is tricky for a bot.
I'm good at drawing	non Answer-------------------- 
Do you think I'm more clever than you?	Honestly, I can't tell one way or the other.
Have you ever met Google Assistant?	I don't need to eat.
What should I know about bots?	I don't know you personally.
I love science fiction	I don't need to eat.
Do you have anything new to say? 	I don't know you personally.
Between the two of us who is cleverest, you or me?	non Answer-------------------- 
